1AD,ADALTA LIMITED,Pharmaceuticals & Biotechnology,n/a,AXS
1AG,ALTERRA LIMITED,Commercial Services & Supplies,n/a,AXS
1AL,ONEALL INTERNATIONAL LIMITED,Consumer Durables & Apparel,n/a,AXS
1PG,1-PAGE LIMITED,Software & Services,n/a,AXS
1ST,1ST AVAILABLE LTD,Health Care Equipment & Services,n/a,AXS
3DP,POINTERRA LIMITED,Food, Beverage & Tobacco,n/a,AXS
3PL,3P LEARNING LIMITED..,Consumer Services,n/a,AXS
4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,n/a,AXS
88E,88 ENERGY LIMITED,Energy,n/a,AXS
8CO,8COMMON LIMITED,Software & Services,n/a,AXS
8EC,8IP EMERGING COMPANIES LIMITED,Not Applic,n/a,AXS
8IH,8I HOLDINGS LTD,Diversified Financials,n/a,AXS
9SP,9 SPOKES INTERNATIONAL LIMITED,Software & Services,n/a,AXS
A2M,THE A2 MILK COMPANY LIMITED,Food, Beverage & Tobacco,n/a,AXS
A3D,AURORA LABS LIMITED,Capital Goods,n/a,AXS
AA^,Alcoa Inc.,Capital Goods,Metal Fabrications,AMEX
AA,Alcoa Inc.,Capital Goods,Metal Fabrications,NYSE
AAAP,Advanced Accelerator Applications S.A.,Health Care,Major Pharmaceuticals,NASDAQ
AA^B,Alcoa Inc.,n/a,n/a,NYSE
AAC,AAC Holdings- Inc.,Health Care,Medical Specialities,NYSE
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,Food, Beverage & Tobacco,n/a,AXS
AAD,ARDENT LEISURE GROUP,Consumer Services,n/a,AXS
A,Agilent Technologies- Inc.,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE
AAI,ALCOA INC.,Materials,n/a,AXS
AAJ,ARUMA RESOURCES LIMITED,Materials,n/a,AXS
AAK,AUSTRALIA CHINA HOLDINGS LIMITED,Real Estate,n/a,AXS
AAL,American Airlines Group- Inc.,Transportation,Air Freight/Delivery Services,NASDAQ
AAL,APAC COAL LIMITED,Energy,n/a,AXS
AAMC,Altisource Asset Management Corp,Finance,Real Estate,AMEX
AAN,Aaron's,  Inc.,Technology,Diversified Commercial Services,NYSE
AAON,AAON- Inc.,Capital Goods,Industrial Machinery/Components,NASDAQ
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,NYSE
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,Food & Staples Retailing,n/a,AXS
AAPL,Apple Inc.,Technology,Computer Manufacturing,NASDAQ
AAR,ANGLO AUSTRALIAN RESOURCES NL,Materials,n/a,AXS
AAT,American Assets Trust- Inc.,Consumer Services,Real Estate Investment Trusts,NYSE
AAU,ADCORP AUSTRALIA LIMITED,Media,n/a,AXS
AAU,Almaden Minerals, Ltd.,Basic Industries,Precious Metals,AMEX
AAV,Advantage Oil & Gas Ltd,Energy,Oil & Gas Production,NYSE
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services,NASDAQ
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,n/a,n/a,NASDAQ
AB1,ANIMOCA BRANDS CORPORATION LIMITED,Software & Services,n/a,AXS
ABA,AUSWIDE BANK LTD,Banks,n/a,AXS
ABAC,Aoxin Tianli Group- Inc.,Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,NYSE
ABAX,ABAXIS- Inc.,Capital Goods,Industrial Machinery/Components,NASDAQ
ABB,ABB Ltd,Consumer Durables,Electrical Products,NYSE
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,NYSE
ABC,ADELAIDE BRIGHTON LIMITED,Materials,n/a,AXS
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,NYSE
ABCB,Ameris Bancorp,Finance,Major Banks,NASDAQ
ABCO,The Advisory Board Company,Consumer Services,Other Consumer Services,NASDAQ
ABDC,Alcentra Capital Corp.,n/a,n/a,NASDAQ
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,n/a,n/a,AMEX
ABEV,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution),NYSE
ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket,NYSE
ABL,ABILENE OIL AND GAS LIMITED,Energy,n/a,AXS
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,NYSE
ABMD,ABIOMED- Inc.,Health Care,Medical/Dental Instruments,NASDAQ
ABP,ABACUS PROPERTY GROUP,Real Estate,n/a,AXS
ABR^A,Arbor Realty Trust,n/a,n/a,NYSE
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE
ABR^B,Arbor Realty Trust,n/a,n/a,NYSE
ABR^C,Arbor Realty Trust,n/a,n/a,NYSE
ABRN,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,NYSE
ABU,ABM RESOURCES NL,Materials,n/a,AXS
ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals,NASDAQ
ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,n/a,AXS
ABW,AURORA ABSOLUTE RETURN FUND,Not Applic,n/a,AXS
ABX,Barrick Gold Corporation,Basic Industries,Precious Metals,NYSE
ABY,Atlantica Yield plc,Public Utilities,Electric Utilities: Central,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ACAS,American Capital Ltd.,n/a,n/a,NASDAQ
AC,Associated Capital Group- Inc.,Finance,Investment Bankers/Brokers/Service,NYSE
ACAT,Arctic Cat Inc.,Capital Goods,Industrial Specialties,NASDAQ
ACB,A-CAP RESOURCES LIMITED,Energy,n/a,AXS
ACBI,Atlantic Capital Bancshares- Inc.,Finance,Major Banks,NASDAQ
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,NYSE
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,NYSE
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals,NASDAQ
ACG,ATCOR MEDICAL HOLDINGS LIMITED,Health Care Equipment & Services,n/a,AXS
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,NASDAQ
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum,NYSE
ACHC,Acadia Healthcare Company- Inc.,Health Care,Medical Specialities,NASDAQ
ACHN,Achillion Pharmaceuticals- Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ACIA,Acacia Communications- Inc.,Technology,Semiconductors,NASDAQ
ACIW,ACI Worldwide- Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ
ACK,AUSTOCK GROUP LIMITED,Insurance,n/a,AXS
ACL,ALCHEMIA LIMITED,Pharmaceuticals & Biotechnology,n/a,AXS
ACLS,Axcelis Technologies- Inc.,Technology,Industrial Machinery/Components,NASDAQ
ACM,AECOM,Consumer Services,Military/Government/Technical,NYSE
ACN,Accenture plc,Miscellaneous,Business Services,NYSE
ACO,AUSTRALIAN CAREERS NETWORK LIMITED,Consumer Services,n/a,AXS
ACOR,Acorda Therapeutics- Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ACP,AUDALIA RESOURCES LIMITED,Materials,n/a,AXS
ACP,Avenue Income Credit Strategies Fund,n/a,n/a,NYSE
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic,n/a,AXS
ACR,ACRUX LIMITED,Pharmaceuticals & Biotechnology,n/a,AXS
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,NYSE
ACRS,Aclaris Therapeutics- Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ACS,ACCENT RESOURCES NL,Materials,n/a,AXS
ACSF,American Capital Senior Floating Ltd.,n/a,n/a,NASDAQ
ACST,Acasti Pharma- Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ACTA,Actua Corporation,Technology,EDP Services,NASDAQ
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,NASDAQ
ACTS,Actions Semiconductor Co. Ltd.,Technology,Semiconductors,NASDAQ
ACTX,Global X Guru Activist ETF,n/a,n/a,NASDAQ
ACU,Acme United Corporation.,Capital Goods,Industrial Machinery/Components,AMEX
ACU,ACTIVISTIC LIMITED,Software & Services,n/a,AXS
ACV,AllianzGI Diversified Income & Convertible Fund,n/a,n/a,NYSE
ACW,Accuride Corporation New,Capital Goods,Auto Parts:O.E.M.,NYSE
ACWI,iShares MSCI ACWI Index Fund,n/a,n/a,NASDAQ
ACWX,iShares MSCI ACWI ex US Index Fund,n/a,n/a,NASDAQ
ACX,ACONEX LIMITED,Software & Services,n/a,AXS
ACXM,Acxiom Corporation,Technology,EDP Services,NASDAQ
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services,AMEX
AD1,APPLYDIRECT LIMITED,Software & Services,n/a,AXS
ADA,ADACEL TECHNOLOGIES LIMITED,Software & Services,n/a,AXS
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,NASDAQ
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,NYSE
ADD,ADAVALE RESOURCES LIMITED,Energy,n/a,AXS
ADGE,American DG Energy Inc.,Public Utilities,Power Generation,AMEX
ADH,ADAIRS LIMITED,Retailing,n/a,AXS
ADI,Analog Devices- Inc.,Technology,Semiconductors,NASDAQ
ADJ,ADSLOT LTD,Software & Services,n/a,AXS
ADK^A,Adcare Health Systems Inc,n/a,n/a,AMEX
ADK,Adcare Health Systems Inc,Health Care,Hospital/Nursing Management,AMEX
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,NYSE
ADN,ADELAIDE RESOURCES LIMITED,Materials,n/a,AXS
ADO,ANTEO DIAGNOSTICS LIMITED,Pharmaceuticals & Biotechnology,n/a,AXS
ADP,Automatic Data Processing- Inc.,Technology,EDP Services,NASDAQ
ADPT,Adeptus Health Inc.,Health Care,Hospital/Nursing Management,NYSE
ADQ,ADG GLOBAL SUPPLY LIMITED.,Capital Goods,n/a,AXS
ADRA,BLDRS Asia 50 ADR Index Fund,n/a,n/a,NASDAQ
ADR,ADHERIUM LIMITED,Health Care Equipment & Services,n/a,AXS
ADRD,BLDRS Developed Markets 100 ADR Index Fund,n/a,n/a,NASDAQ
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,n/a,n/a,NASDAQ
ADRO,Aduro Biotech- Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ADRU,BLDRS Europe 100 ADR Index Fund,n/a,n/a,NASDAQ
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,NYSE
ADSK,Autodesk- Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ
ADTN,ADTRAN- Inc.,Public Utilities,Telecommunications Equipment,NASDAQ
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,NASDAQ
ADV,ARDIDEN LTD,Materials,n/a,AXS
ADX,Adams Diversified Equity Fund- Inc.,n/a,n/a,NYSE
ADX,ADX ENERGY LTD,Energy,n/a,AXS
ADXSW,Advaxis- Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ADY,ADMIRALTY RESOURCES NL.,Materials,n/a,AXS
AE,Adams Resources & Energy, Inc.,Energy,Oil Refining/Marketing,AMEX
AEB,Aegon NV,Finance,Life Insurance,NYSE
AEB,ALGAE.TEC LIMITED,Energy,n/a,AXS
AED,Aegon NV,Finance,Life Insurance,NYSE
AEE,Ameren Corporation,Public Utilities,Power Generation,NYSE
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Diversified Financials,n/a,AXS
AEG,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,Not Applic,n/a,AXS
AEG,Aegon NV,Finance,Life Insurance,NYSE
AEGN,Aegion Corp,Basic Industries,Water Supply,NASDAQ
AEGR,Aegerion Pharmaceuticals- Inc.,Health Care,Major Pharmaceuticals,NASDAQ
AEH,Aegon NV,Finance,Life Insurance,NYSE
AEI,AERIS ENVIRONMENTAL LTD,Commercial Services & Supplies,n/a,AXS
AEIS,Advanced Energy Industries- Inc.,Capital Goods,Industrial Machinery/Components,NASDAQ
AEK,Aegon NV,Finance,Life Insurance,NYSE
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,NYSE
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,NYSE
AEO,American Eagle Outfitters- Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,NYSE
AEP,American Electric Power Company- Inc.,Public Utilities,Electric Utilities: Central,NYSE
AEPI,AEP Industries Inc.,Capital Goods,Specialty Chemicals,NASDAQ
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services,NYSE
AES^C,The AES Corporation,Basic Industries,Electric Utilities: Central,NYSE
AES,The AES Corporation,Basic Industries,Electric Utilities: Central,NYSE
AET,Aetna Inc.,Health Care,Medical Specialities,NYSE
AEUA,Anadarko Petroleum Corporation,Energy,Oil & Gas Production,NYSE
AEV,AVENIRA LIMITED,Materials,n/a,AXS
AFA,American Financial Group- Inc.,Finance,Property-Casualty Insurers,NYSE
AFAM,Almost Family Inc,Health Care,Medical/Nursing Services,NASDAQ
AF,Astoria Financial Corporation,Finance,Savings Institutions,NYSE
AFB,Alliance National Municipal Income Fund Inc,n/a,n/a,NYSE
AFC,Ares Capital Corporation,n/a,n/a,NYSE
AF^C,Astoria Financial Corporation,n/a,n/a,NYSE
AFCO,American Farmland Company,Consumer Services,Real Estate Investment Trusts,AMEX
AFG,American Financial Group- Inc.,Finance,Property-Casualty Insurers,NYSE
AFG,AUSTRALIAN FINANCE GROUP LTD,Banks,n/a,AXS
AFGE,American Financial Group- Inc.,Finance,Property-Casualty Insurers,NYSE
