MPID|MP Type|Name|Location|Telephone|NASDAQ Member|FINRA Member|NASDAQ BX Member|PSX Participant
AACC|P|ABN AMRO CLEARING CHICAGO LLC|||Y|Y|Y|Y
AACI|P|Aaron Capital, Incorporated|||N|Y|N|N
AALC|P|Thrivent Investment Management Inc.|||N|Y|N|N
ABGS|P|ABG Sundal Collier Inc.|NEW YORK, NY|212-371-5000|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|BROKER/DEALERS SALES|800-325-ABLE|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|DOMESTIC|212-299-4500|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|DOMESTIC|800-221-3365|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|INTERNATIONAL|800-223-3134|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|ARBITRAGE|212-333-4440|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|ARBITRAGE|212-333-4441|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|CONVERTIBLE|212-333-4554|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|EUROPE|212-299-4505|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|FAR EAST|212-299-4508|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|LATIN AMERICA|212-299-4511|N|Y|N|N
ABLE|M|NATIXIS Securities Americas LLC|SOUTH AFRICA|212-299-4513|N|Y|N|N
ABLN|P|ABEL/NOSER CORP.|NEW YORK, NY|212-344-0954|Y|Y|N|N
ABNA|P|ABN AMRO SECURITIES (USA) LLC|||N|Y|N|N
ABND|P|ABN AMRO CLEARING CHICAGO LLC|||Y|Y|Y|Y
ABNS|P|ABEL/NOSER CORP.|||Y|Y|N|N
ABYL|P|North Star Investment Services, Inc.|GRAND HAVEN  MI|616-846-3620|N|Y|N|N
ACAD|P|ACADEMY SECURITIES, INC.|||N|Y|N|N
ACAF|P|ACAP Financial Inc.|||N|Y|N|N
ACAP|M|ACAP Financial Inc.|SALT LAKE CITY  UT|801-364-6651|N|Y|N|N
ACAP|M|ACAP Financial Inc.|NASDAQ/OTC TRADING|800-541-3961|N|Y|N|N
ACBD|P|AMERICAN CENTURY INVESTMENT SERVICES INC.|||N|Y|N|N
ACCP|P|AEGIS CAPITAL CORP|||Y|Y|N|N
ACEJ|P|Allen C. Ewing & Co.|||N|Y|N|N
ACGL|P|ACG, LLC|||N|N|N|N
ACGM|P|ACGM, INC.|||N|Y|N|N
ACGP|P|Andes Capital Group, LLC|||N|Y|N|N
ACII|P|ARCA CAPITAL INVESTMENTS, INC.|||N|Y|N|N
ACLN|P|ALEXANDER CAPITAL, L.P.|||N|Y|N|N
ACLP|P|ALEXANDER CAPITAL, L.P.|||N|Y|N|N
ACME|M|Acme Securities Inc.|MONTREAL, CANADA|514-397-9073|N|N|N|N
ACOS|P|Costa Financial Securities, Inc.|||N|N|N|N
ACPL|M|American Capital Partners, LLC|HAUPPAUGE, NY|631-870-3007|Y|Y|N|N
ACRA|P|Archipelago Securities, L.L.C.|||Y|Y|Y|Y
ACRN|P|ACORNS SECURITIES, LLC|||N|Y|N|N
ACSI|P|Atlas Capital Services, LLC|||N|N|N|N
ACSL|P|FINTRUST BROKERAGE SERVICES, LLC|||N|Y|N|N
ACTR|P|A.C. Trading, Inc.|||N|N|N|N
ACUK|P|ALEXANDER CAPITAL, L.P.|||N|Y|N|N
ADAK|P|Adirondack Trading Group LLC|||N|Y|N|N
ADAM|M|CANACCORD GENUITY INC.|BOSTON, MA|617-371-3920|Y|Y|N|N
ADAM|M|CANACCORD GENUITY INC.|BOSTON, MA|800-258-0811|Y|Y|N|N
ADAM|M|CANACCORD GENUITY INC.|ARBITRAGE|617-371-3921|Y|Y|N|N
ADCP|P|ADCAP SECURITIES LLC|||N|Y|N|N
ADFG|P|American Diversified Financial Group LLC|||N|Y|N|N
ADFN|E|NASD Alternate Display Facility|||N|N|N|N
ADKT|P|ADIRONDACK TRADING GROUP LLC|||N|Y|N|N
ADPI|P|Automatic Data Processing, Inc.|||N|N|N|N
ADRD|P|Convergex Execution Solutions LLC|||Y|Y|Y|Y
ADSO|P|Prospera Financial Services, Inc.|DALLAS, TX|214-706-2800|N|Y|N|N
ADVA|P|Advanced Equities, Inc.|TRADING DESK|312-229-1938|N|N|N|N
ADVP|P|Advanced Planning Securities, Inc.|||N|N|N|N
ADVS|M|Advest, Inc.|||N|N|N|N
AEBC|P|AEB Corporation|NEW YORK, NY|212-406-6780|N|N|N|N
AEFA|P|Ameriprise Financial Services, Inc.|||N|Y|N|N
AESI|P|American Eastern Securities, Inc.|LOS ANGELES  CA|213-488-5131|N|N|N|N
AEXG|P|ALTERNATIVE EXECUTION GROUP|primary contact|212-209-3911|Y|Y|N|N
AFAI|P|American Financial Associates, Inc.|||N|Y|N|N
AFCO|M|Albert Fried & Company, LLC|NEW YORK  NY|212-422-7285|Y|Y|N|N
AFGI|M|Access Financial Group, Inc.|NASDAQ TRADING|312-655-3255|N|Y|N|N
AFGI|M|Access Financial Group, Inc.|NASDAQ TRADING|800-714-3405|N|Y|N|N
AFGL|P|ATLAS ONE FINANCIAL GROUP, LLC|||N|Y|N|N
AFGT|P|AMBASSADOR FINANCIAL GROUP, INC.|||N|Y|N|N
AFIN|P|All Funds, Inc.|CONGERS  NY|845-268-6827|N|N|N|N
AFQT|P|AMERICAFIRST SECURITIES, INC.|||N|N|N|N
AFTR|M|American Fronteer Financial Corporation|||N|N|N|N
AGCO|P|Auerbach Grayson & Company Incorporated|NASDAQ TRADING|212-557-4444|N|Y|N|N
AGCP|P|AEGIS CAPITAL CORP.|||Y|Y|N|N
AGIS|M|Aegis Capital Corp.|NASDAQ OTC DESK|212-813-2006|Y|Y|N|N
AGIS|M|Aegis Capital Corp.|BULLETIN BOARD DESK|212-813-2006|Y|Y|N|N
AGOR|P|Agora Securities Corp.|||N|N|N|N
AHBI|P|Abner, Herrman & Brock, Inc.|NEW YORK N.Y.|212-742-1093|N|Y|N|N
AHSI|P|American Heritage Securities, Inc.|||N|Y|N|N
AICB|P|AMERITAS INVESTMENT CORP|||N|Y|N|N
AIGF|P|AIG Financial Advisors, Inc.|||N|Y|N|N
AIGN|P|SAGEPOINT FINANCIAL, INC.|||N|Y|N|N
AIII|P|America Invest Online, Inc.|||N|N|N|N
AIRS|P|Hand Securities, Inc|||N|Y|N|N
AISG|P|American Independent Securities Group, LLC|||N|Y|N|N
AJAY|P|A.J. Pace & Co., Inc.|NASDAQ TRADING|212-277-7223|N|N|N|N
AJCE|N|Professional Concepts & Planning, Inc.|||N|N|N|N
AKAM|P|JUMP TRADING|||Y|N|Y|Y
AKJI|P|AKJ|||N|N|N|N
AKRO|P|Akros Securities, Inc|NEW YORK, NY|212-546-9466|N|N|N|N
ALAC|P|Alamo Capital|NASDAQ TRADING|510-472-5700|N|Y|N|N
ALAD|P|Alliance Advisory & Securities, Inc.|||N|Y|N|N
ALAM|P|ALAMO CAPITAL|||N|Y|N|N
ALAN|P|ALADDIN CAPITAL LLC|||N|N|N|N
ALAS|M|Arthurs, Lestrange & Company Incorporated|PITTSBURGH, PA|877-282-1941|N|N|N|N
ALAS|M|Arthurs, Lestrange & Company Incorporated|ALTERNATE TEL#|412-306-1753|N|N|N|N
ALCH|P|Alchemy Alternatives, Inc.|||N|Y|N|N
ALEN|P|Allen & Company of Florida, Inc.|LAKELAND FL|813-688-9000|N|Y|N|N
ALFA|P|Alfa Capital Markets (USA), Inc|||Y|Y|N|N
ALGO|P|STOCK USA EXECUTION SERVICES, INC|||Y|Y|Y|N
ALGP|P|ALGOPARTNERS, LLC|||N|N|N|N
ALGR|O|Fred Alger & Company, Incorporated|NEW YORK NY|212-806-8820|Y|Y|N|N
ALGR|O|Fred Alger & Company, Incorporated||212-806-8800|Y|Y|N|N
ALGR|O|Fred Alger & Company, Incorporated||800-223-3810|Y|Y|N|N
ALGR|O|Fred Alger & Company, Incorporated|JERSEY CITY NJ|201-547-3600|Y|Y|N|N
ALIS|P|Alexander Investment Services Co.|||N|Y|N|N
ALLN|M|Allen & Company LLC|NEW YORK, NY|212-832-7393|Y|Y|N|N
ALLN|M|Allen & Company LLC|NEW YORK, NY|800-221-2246|Y|Y|N|N
ALLX|P|ABN AMRO CLEARING CHICAGO LLC|||Y|Y|Y|Y
ALPN|O|Alpine Associates, A Limited Partnership|CRESKILL, NJ|201-871-0866|N|N|N|N
ALPS|M|Alpine Securities Corporation|SALT LAKE CITY, UT|800-521-5588|Y|Y|N|N
ALPS|M|Alpine Securities Corporation|RETAIL|801-355-5588|Y|Y|N|N
ALST|N|All-Tech Direct, Inc.|||N|N|N|N
ALTX|O|Alternet Securities Inc.|NEW YORK, NY|212-444-6218|Y|Y|N|N
ALYS|P|ALLY SECURITIES LLC|||N|Y|N|N
ALZN|P|Arjent Services LLC|||N|Y|N|N
AMEX|E|American Stock Exchange|BEAR HUNTER|212-306-1059/1083  (BHSP)|N|N|N|N
AMEX|E|American Stock Exchange|EQUITEC SPECIALISTS|212-306-1578/1579  (EQUT)|N|N|N|N
AMEX|E|American Stock Exchange|PERFORMANCE CAPITAL|212-306-1580       (PERF)|N|N|N|N
AMEX|E|American Stock Exchange|SUSQUEHANNA INTL GP|212-306-1582       (SUSI)|N|N|N|N
AMGC|O|America's Growth Capital, LLC|BOSTON, MA|617-261-4100|N|Y|N|N
AMIC|P|AMERICAN INVESTORS COMPANY|||N|Y|N|N
AMMS|P|American Municipal Securities, Inc.|||N|Y|N|N
AMRI|P|AMERICAS EXECUTIONS, LLC|Main Desk Line|212-306-2700|N|Y|N|N
